adsh,cik,gvkey,form,filed,co_conm,will,shall,going_to,expect_to,expected_to,expecting_to
0000038074-09-000029,38074,4843,10-K,20090529,FOREST LABORATORIES  -CL A,308.0,26.0,0.0,0.0,0.0,0.0
0000277948-09-000066,277948,2574,10-Q,20090415,CSX CORP,76.0,10.0,0.0,0.0,0.0,0.0
0000796343-09-000026,796343,12540,10-Q,20090626,ADOBE INC,172.0,66.0,0.0,0.0,0.0,0.0
0000831259-09-000047,831259,14590,10-Q,20090511,FREEPORT-MCMORAN INC,111.0,12.0,0.0,0.0,0.0,0.0
0000891618-09-000150,1164727,7881,10-Q,20090430,NEWMONT CORP,121.0,54.0,0.0,0.0,0.0,0.0
0000891618-09-000166,93410,2991,10-Q,20090507,CHEVRON CORP,60.0,6.0,0.0,0.0,0.0,0.0
0001031296-09-000011,1031296,8099,10-Q,20090507,FIRSTENERGY CORP,424.0,1341.0,0.0,0.0,0.0,0.0
0001104659-09-031513,1124198,4818,10-Q,20090511,FLUOR CORP,132.0,40.0,0.0,0.0,0.0,0.0
0001193125-09-088639,1070412,120093,10-Q,20090427,CNX RESOURCES CORPORATION,157.0,112.0,0.0,0.0,0.0,0.0
0001193125-09-096522,1365135,175263,10-Q,20090504,WESTERN UNION CO,223.0,0.0,0.0,0.0,0.0,0.0
0001193125-09-101639,29669,4040,10-Q,20090506,DONNELLEY (R R) & SONS CO,150.0,16.0,0.0,0.0,0.0,0.0
0001193125-09-124260,769397,1878,10-Q,20090603,AUTODESK INC,286.0,17.0,0.0,0.0,0.0,0.0
0000004904-09-000117,4904,1440,10-Q,20090804,AMERICAN ELECTRIC POWER CO,508.0,24.0,0.0,0.0,0.0,0.0
0000024741-09-000027,24741,3532,10-Q,20090729,CORNING INC,345.0,7.0,0.0,0.0,0.0,0.0
0000038074-09-000041,38074,4843,10-Q,20090810,FOREST LABORATORIES  -CL A,126.0,10.0,0.0,0.0,0.0,0.0
0000040545-09-000049,40545,5047,10-Q,20090803,GENERAL ELECTRIC CO,227.0,0.0,0.0,0.0,0.0,0.0
0000047111-09-000038,47111,5597,10-Q,20090813,HERSHEY CO,142.0,231.0,0.0,0.0,0.0,0.0
0000049826-09-000066,49826,5878,10-Q,20090807,ILLINOIS TOOL WORKS,365.0,172.0,0.0,0.0,0.0,0.0
0000055785-09-000026,55785,6435,10-Q,20090807,KIMBERLY-CLARK CORP,71.0,6.0,0.0,0.0,0.0,0.0
0000059558-09-000113,59558,6742,10-Q,20090807,LINCOLN NATIONAL CORP,335.0,12.0,0.0,0.0,0.0,0.0
0000060667-09-000096,60667,6829,10-Q,20090901,LOWE'S COS INC,24.0,126.0,0.0,0.0,0.0,0.0
0000072207-09-000031,72207,7912,10-Q,20090730,NOBLE ENERGY INC,199.0,12.0,0.0,0.0,0.0,0.0
0000085408-09-000039,85408,9258,10-Q,20090810,ROWAN COMPANIES PLC,67.0,164.0,0.0,0.0,0.0,0.0
0000086521-09-000047,1032208,8272,10-Q,20090731,SEMPRA ENERGY,118.0,7.0,0.0,0.0,0.0,0.0
0000092380-09-000027,92380,9882,10-Q,20090723,SOUTHWEST AIRLINES,77.0,15.0,0.0,0.0,0.0,0.0
0000097216-09-000168,97216,7991,10-Q,20090730,TEREX CORP,317.0,270.0,0.0,0.0,0.0,0.0
0000097745-09-000040,97745,10530,10-Q,20090731,THERMO FISHER SCIENTIFIC INC,121.0,25.0,0.0,0.0,0.0,0.0
0000107815-09-000047,783325,11550,10-Q,20090804,WEC ENERGY GROUP INC,218.0,879.0,0.0,0.0,0.0,0.0
0000217346-09-000117,217346,10519,10-Q,20090731,TEXTRON INC,118.0,136.0,0.0,0.0,0.0,0.0
0000277135-09-000023,277135,5256,10-Q,20090731,GRAINGER (W W) INC,66.0,219.0,0.0,0.0,0.0,0.0
0000277948-09-000113,277948,2574,10-Q,20090715,CSX CORP,67.0,12.0,0.0,0.0,0.0,0.0
0000314808-09-000067,314808,2270,10-Q,20090723,VALARIS PLC,275.0,7.0,0.0,0.0,0.0,0.0
0000704051-09-000121,704051,6653,10-Q,20090805,LEGG MASON INC,202.0,2.0,0.0,0.0,0.0,0.0
0000732717-09-000050,732717,9899,10-Q,20090805,AT&T INC,225.0,1238.0,0.0,0.0,0.0,0.0
0000753308-09-000086,753308,4517,10-Q,20090731,NEXTERA ENERGY INC,127.0,392.0,0.0,0.0,0.0,0.0
0000797468-09-000095,797468,8068,10-Q,20090806,OCCIDENTAL PETROLEUM CORP,153.0,94.0,0.0,0.0,0.0,0.0
0000801898-09-000131,801898,13003,10-Q,20090909,JOY GLOBAL INC,177.0,0.0,0.0,0.0,0.0,0.0
0000818479-09-000123,818479,13700,10-Q,20090730,DENTSPLY SIRONA INC,98.0,0.0,0.0,0.0,0.0,0.0
0000821189-09-000047,821189,16478,10-Q,20090806,EOG RESOURCES INC,179.0,3.0,0.0,0.0,0.0,0.0
0000831259-09-000076,831259,14590,10-Q,20090807,FREEPORT-MCMORAN INC,107.0,20.0,0.0,0.0,0.0,0.0
0000891092-09-003150,29989,4066,10-Q,20090806,OMNICOM GROUP,233.0,101.0,0.0,0.0,0.0,0.0
0000915389-09-000055,915389,29392,10-Q,20090730,EASTMAN CHEMICAL CO,152.0,393.0,0.0,0.0,0.0,0.0
0000918160-09-000029,918160,29968,10-Q,20090804,AK STEEL HOLDING CORP,252.0,11.0,0.0,0.0,0.0,0.0
0000930413-09-003869,1022079,64166,10-Q,20090728,QUEST DIAGNOSTICS INC,252.0,4.0,0.0,0.0,0.0,0.0
0000930413-09-003976,788784,8810,10-Q,20090803,PUBLIC SERVICE ENTRP GRP INC,258.0,16.0,0.0,0.0,0.0,0.0
0000930413-09-004048,78814,8606,10-Q,20090805,PITNEY BOWES INC,173.0,1.0,0.0,0.0,0.0,0.0
0000934612-09-000042,934612,2490,10-Q,20090724,BURLINGTON NORTHERN SANTA FE,65.0,0.0,0.0,0.0,0.0,0.0
0000941548-09-000106,941548,60894,10-Q,20090806,CAMERON INTERNATIONAL CORP,136.0,7.0,0.0,0.0,0.0,0.0
0000950123-09-022892,875045,24468,10-Q,20090717,BIOGEN INC,299.0,311.0,0.0,0.0,0.0,0.0
0000950123-09-024369,804328,24800,10-Q,20090722,QUALCOMM INC,197.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-024448,1164727,7881,10-Q,20090723,NEWMONT CORP,141.0,123.0,0.0,0.0,0.0,0.0
0000950123-09-024544,315852,6788,10-Q,20090723,RANGE RESOURCES CORP,43.0,3.0,0.0,0.0,0.0,0.0
0000950123-09-024563,1133421,7985,10-Q,20090723,NORTHROP GRUMMAN CORP,175.0,50.0,0.0,0.0,0.0,0.0
